,Bacteroidales,Bacteroides_buccalis,Bacteroidaceae,Bacillus_thetaiotaomicron,Bacteroides_xylanisolvens,Bacteroides_caccae,82,Bacillus_fragilis,Bacteroides_stercoris,Bacteroides_sp._HF-5287,Bacteroides_dorei,38709,Butyricimonas_faecalis,Bacteroides_splanchnicus,Alistipes_communis,Alistipes_shahii,Alistipes_onderdonkii,Parabacteroides,Bacteroides_merdae,Bacteroides_goldsteinii,Faecalibacterium,Faecalibacterium_sp._HTF-F,Faecalibacterium_sp._I3-3-89,Faecalibacterium_sp._I4-1-79,Faecalibacterium_sp._I3-3-33,Ruminococcus_bicirculans,Ruminococcus_sp._FMBCY1,Ruminococcus_bovis,Dysosmobacter_welbionis,Ruminococcaceae_bacterium_585-1,Roseburia_hominis,41824,Butyrivibrio_crossotus,Coprococcus_sp._ART55/1,Mediterraneibacter_lactaris,Lachnospiraceae_bacterium_NSJ-8,Eubacterium_eligens,Megamonas_funiformis,Veillonella_alcalescens,Enterobacteraceae,547,88126,57,729,901,239935
P_001_1,384475.0,822.0,288225.0,765698.0,95925.0,9835.0,230618.0,151971.0,70465.0,151452.0,123236.0,10030.0,16117.0,130972.0,149803.0,63057.0,322811.0,291717.0,274598.0,6604.0,453578.0,120506.0,416083.0,186156.0,159417.0,115187.0,7331.0,1596.0,223139.0,37582.0,39545.0,62178.0,101167.0,8504.0,10704.0,368650.0,86455.0,160.0,990.0,17275.0,821.0,17.0,577.0,711.0,1098.0,792715.0
P_002_1,377398.0,17368.0,64436.0,327900.0,141442.0,349179.0,553100.0,35597.0,157502.0,331218.0,83468.0,16764.0,15527.0,199986.0,121848.0,567631.0,23749.0,56802.0,134618.0,35002.0,233851.0,82530.0,30418.0,64795.0,66117.0,246568.0,9883.0,1942.0,134229.0,57275.0,52584.0,37185.0,353866.0,6117.0,23397.0,538489.0,29671.0,666.0,1266.0,20916.0,83185.0,88844.0,52343.0,17627.0,1833.0,157364.0
P_003_1,117748.0,23145.0,23752.0,77117.0,48481.0,5977.0,16086.0,9623.0,12014.0,4138.0,23610.0,12470.0,11161.0,6628.0,5915.0,6361.0,3756.0,2843.0,7250.0,2142.0,145913.0,39834.0,23069.0,46174.0,38769.0,10603.0,104769.0,1622.0,54124.0,39539.0,15171.0,33118.0,39529.0,50610.0,6107.0,32369.0,23431.0,366.0,58112.0,81004.0,1961.0,40.0,683453.0,117123.0,15489.0,1816.0
P_004_1,248637.0,1325.0,59428.0,834419.0,494203.0,1220616.0,148677.0,37272.0,219890.0,8883.0,526293.0,13175.0,14554.0,200545.0,199896.0,5206.0,48099.0,296600.0,391931.0,4870.0,279133.0,293413.0,136129.0,47284.0,29506.0,124296.0,1630.0,798.0,55190.0,58925.0,70126.0,41031.0,13472.0,4430.0,49904.0,29858.0,55745.0,34824.0,6807.0,370520.0,758.0,12.0,543.0,11004.0,3017.0,867.0
P_005_1,141672.0,9857.0,35147.0,81580.0,53487.0,3110.0,36769.0,14607.0,89136.0,2282.0,29075.0,14975.0,3577.0,15586.0,47207.0,1122.0,808.0,33291.0,68685.0,1957.0,150718.0,23030.0,11298.0,10003.0,9940.0,1857.0,8872.0,1307.0,16957.0,16706.0,14056.0,21306.0,5400.0,2721.0,3141.0,88012.0,7420.0,123521.0,150.0,674.0,134.0,0.0,114.0,263.0,248.0,1839.0
P_006_1,474861.0,5420.0,162679.0,345442.0,202734.0,48704.0,1125024.0,105286.0,57239.0,46923.0,502499.0,219112.0,10768.0,64584.0,118057.0,71288.0,171057.0,28868.0,38447.0,9983.0,414762.0,105310.0,123318.0,87370.0,84650.0,25529.0,10835.0,1416.0,52691.0,18531.0,56483.0,46050.0,34126.0,5194.0,25132.0,136787.0,100909.0,175863.0,262.0,7489.0,4529.0,4563.0,3084.0,1268.0,1334.0,26076.0
P_007_1,267575.0,12278.0,55171.0,176839.0,131094.0,80843.0,56008.0,31465.0,8309.0,6654.0,88112.0,33172.0,100693.0,63070.0,19321.0,10793.0,4323.0,18595.0,18325.0,2557.0,225067.0,195333.0,129320.0,62582.0,56211.0,45462.0,6653.0,949.0,26204.0,19474.0,20998.0,38840.0,73161.0,30885.0,18708.0,56834.0,7914.0,496.0,395.0,3651.0,370.0,7.0,393.0,423.0,21261.0,240472.0
P_008_1,155394.0,37859.0,37939.0,92329.0,71681.0,29389.0,99777.0,13625.0,24406.0,61003.0,29257.0,13405.0,18658.0,48454.0,24615.0,95869.0,10868.0,29561.0,35474.0,3729.0,271312.0,72086.0,68829.0,54666.0,41585.0,2473.0,6812.0,1776.0,30089.0,7540.0,20071.0,76702.0,41828.0,31388.0,19773.0,124282.0,28666.0,479.0,5080.0,1263409.0,20047.0,89.0,7685.0,76321.0,16147.0,1181.0
P_009_1,185660.0,15407.0,38243.0,107550.0,23814.0,7636.0,673240.0,280704.0,324709.0,4440.0,25184.0,11543.0,1658.0,31497.0,1542.0,131467.0,6044.0,29629.0,3128.0,13188.0,157914.0,113929.0,21548.0,95843.0,39383.0,9601.0,1121.0,920.0,11800.0,9864.0,19393.0,14023.0,10382.0,47106.0,4992.0,118394.0,186899.0,150.0,15873.0,80326.0,306.0,6.0,1911.0,75995.0,621.0,4943.0
P_010_1,508402.0,4649.0,178417.0,361759.0,216682.0,25193.0,1226878.0,114703.0,51493.0,26441.0,552607.0,245420.0,10649.0,58403.0,127312.0,46909.0,197978.0,28135.0,34457.0,9088.0,496963.0,123768.0,150406.0,102210.0,99375.0,13598.0,12022.0,1515.0,53416.0,17913.0,60800.0,52530.0,11600.0,5640.0,27347.0,129426.0,111806.0,207759.0,264.0,7553.0,310.0,13.0,857.0,252.0,1435.0,18179.0
P_011_1,861422.0,2896.0,268714.0,874211.0,358526.0,67637.0,430814.0,1003368.0,28574.0,19920.0,131126.0,4791.0,10880.0,43350.0,68108.0,79784.0,702314.0,56807.0,11141.0,116470.0,238522.0,31947.0,101192.0,58145.0,35752.0,2629.0,8294.0,192256.0,47267.0,49501.0,56529.0,136990.0,16535.0,10640.0,14142.0,35259.0,63411.0,241.0,1598.0,59175.0,243.0,9.0,310.0,1860.0,485.0,1704.0
P_012_1,356029.0,6186.0,76491.0,146941.0,78416.0,391371.0,86376.0,19762.0,14695.0,9350.0,63751.0,27836.0,68978.0,34888.0,22810.0,9675.0,14704.0,56766.0,48993.0,2963.0,293570.0,185744.0,44599.0,77465.0,64569.0,148714.0,11437.0,1356.0,39956.0,25924.0,28299.0,48232.0,49308.0,79727.0,13021.0,41868.0,55514.0,172.0,276.0,41019.0,44359.0,53.0,6970.0,1126.0,27408.0,5705.0
P_013_1,162063.0,21172.0,24177.0,115904.0,61464.0,26149.0,24826.0,11285.0,15017.0,2915.0,24440.0,22241.0,54161.0,38996.0,2400.0,37260.0,3738.0,8056.0,37612.0,2912.0,155814.0,68550.0,70706.0,78545.0,44928.0,9990.0,35772.0,1311.0,12950.0,6734.0,12084.0,23811.0,6369.0,14850.0,4141.0,68547.0,15819.0,843.0,239.0,1479.0,626.0,100.0,323.0,821.0,1130.0,2746.0
P_014_1,221723.0,3752.0,44367.0,37923.0,37223.0,186297.0,51405.0,15491.0,272706.0,3946.0,85813.0,8655.0,8955.0,70640.0,43150.0,22596.0,9245.0,9884.0,189913.0,3795.0,516987.0,226287.0,122986.0,147264.0,123210.0,84772.0,11142.0,2450.0,77067.0,45747.0,91547.0,129324.0,435979.0,18843.0,110063.0,649151.0,188197.0,463.0,1152.0,12360.0,875.0,70.0,738.0,941.0,2771.0,379294.0
P_015_1,132387.0,24244.0,36109.0,140664.0,70113.0,5277.0,22477.0,9674.0,7845.0,5663.0,28223.0,24054.0,21350.0,12631.0,1287.0,3296.0,1847.0,5006.0,5319.0,2500.0,156839.0,85717.0,46060.0,66050.0,52626.0,7519.0,51650.0,9797.0,17560.0,9226.0,38092.0,29273.0,834504.0,244702.0,9483.0,134738.0,80708.0,770.0,1220.0,4706.0,1723.0,8.0,527.0,2914.0,8326.0,1299.0
P_016_1,652063.0,116810.0,266036.0,434115.0,413091.0,236545.0,323146.0,66825.0,107130.0,1119855.0,138653.0,39638.0,98832.0,105477.0,50752.0,23595.0,16107.0,17257.0,46331.0,37695.0,222763.0,89903.0,334322.0,163800.0,145529.0,70586.0,9473.0,2299.0,34852.0,20768.0,68195.0,77119.0,41500.0,14310.0,27349.0,665164.0,51012.0,548.0,1483.0,2208.0,412.0,23.0,999.0,6798.0,1072.0,209683.0
P_017_1,140391.0,11090.0,20765.0,99188.0,39220.0,14028.0,93109.0,12519.0,12175.0,3443.0,96696.0,10291.0,8660.0,115155.0,68658.0,12283.0,201590.0,56389.0,15160.0,9379.0,140308.0,22406.0,14608.0,51489.0,45317.0,42113.0,14191.0,1350.0,42376.0,47398.0,28269.0,33379.0,11090.0,4855.0,6923.0,552617.0,52013.0,215044.0,3565.0,640245.0,719.0,38.0,1508.0,2333.0,53579.0,1760.0
P_018_1,234378.0,10707.0,46987.0,43258.0,44060.0,105136.0,354279.0,41394.0,7804.0,18185.0,766528.0,22657.0,22833.0,81926.0,41445.0,18327.0,79278.0,64812.0,94451.0,5964.0,467648.0,457487.0,125770.0,233327.0,221933.0,54825.0,9158.0,2077.0,42559.0,15465.0,36782.0,69403.0,607126.0,7416.0,9098.0,241605.0,10311.0,355.0,1482.0,9343.0,851.0,14.0,363.0,858.0,50407.0,1605.0
P_019_1,556518.0,39521.0,101332.0,405471.0,248170.0,146657.0,188064.0,59377.0,113862.0,12920.0,52994.0,698387.0,97754.0,53615.0,28790.0,42001.0,22986.0,72692.0,152254.0,8263.0,275757.0,178888.0,90739.0,232985.0,103754.0,381428.0,90712.0,2094.0,30750.0,13181.0,19991.0,51382.0,13765.0,4088.0,9860.0,223465.0,31346.0,630.0,340.0,7987.0,1354.0,183.0,2776.0,1741.0,4625.0,2033.0
P_020_1,157287.0,3886.0,23179.0,52452.0,26482.0,27486.0,235414.0,17271.0,97077.0,37674.0,264888.0,6028.0,7154.0,263366.0,21808.0,14404.0,100978.0,17144.0,53631.0,3976.0,154398.0,55262.0,71826.0,40552.0,34587.0,10390.0,181281.0,2113.0,125968.0,18559.0,70041.0,158003.0,399185.0,16789.0,59582.0,147807.0,253851.0,136558.0,450.0,57481.0,1255.0,26.0,301141.0,1300.0,86495.0,350425.0
P_021_1,250049.0,299391.0,51897.0,505514.0,65856.0,13170.0,299987.0,660968.0,3704.0,112830.0,1217072.0,23766.0,6187.0,156718.0,1815.0,41246.0,65534.0,31238.0,52289.0,2588.0,74257.0,17921.0,8324.0,100629.0,95035.0,823.0,10416.0,2963.0,9858.0,2506.0,11625.0,15860.0,6494.0,1955.0,7657.0,502970.0,31683.0,204.0,36647.0,63868.0,1584.0,136.0,4433.0,16907.0,537.0,1317.0
P_023_1,154696.0,45839.0,32482.0,119123.0,71364.0,12378.0,19588.0,10881.0,5474.0,4311.0,22030.0,18116.0,16546.0,7909.0,3550.0,2023.0,2114.0,2248.0,3990.0,2816.0,192728.0,181263.0,253491.0,137864.0,68980.0,15754.0,73528.0,1318.0,24988.0,4875.0,19077.0,16786.0,8594.0,38437.0,5396.0,255972.0,97505.0,382.0,1182.0,1794.0,227.0,4.0,270.0,9968.0,12929.0,3123.0
P_024_1,701742.0,7278.0,225296.0,136587.0,526434.0,17006.0,742451.0,64241.0,1848956.0,338936.0,75252.0,10105.0,17701.0,152689.0,65825.0,166051.0,264648.0,83745.0,139079.0,10151.0,277184.0,43888.0,55856.0,189792.0,165169.0,2489.0,8946.0,1396.0,29955.0,24492.0,21833.0,25456.0,5760.0,4727.0,6005.0,47642.0,97097.0,90.0,3995.0,81795.0,601.0,15.0,419.0,27689.0,1730.0,2508.0
P_025_1,320197.0,52825.0,65899.0,184909.0,248452.0,7710.0,70523.0,28236.0,30307.0,10331.0,61444.0,30838.0,30127.0,65321.0,26303.0,4097.0,11711.0,40123.0,134573.0,7699.0,220138.0,35206.0,19662.0,41257.0,34857.0,4686.0,4895.0,928.0,38356.0,9809.0,27982.0,77383.0,7740.0,2904.0,7103.0,156210.0,3379.0,3304743.0,266.0,78738.0,594.0,5.0,642.0,309.0,396.0,192408.0
P_026_1,191675.0,48163.0,37430.0,120632.0,45787.0,16441.0,18556.0,26039.0,7143.0,8897.0,30992.0,15610.0,11527.0,33825.0,4905.0,5368.0,7751.0,26980.0,17733.0,2798.0,196724.0,33369.0,29739.0,43125.0,38501.0,2110.0,6799.0,1057.0,18474.0,5583.0,6359.0,14415.0,20767.0,4057.0,2572.0,65373.0,4626.0,278.0,295.0,9404.0,1529.0,133.0,349.0,913.0,16735.0,1290.0
P_027_1,140967.0,15988.0,33384.0,241922.0,73978.0,4898.0,48915.0,9534.0,3451.0,2663.0,36476.0,32821.0,19143.0,41808.0,1277.0,1496.0,2386.0,12618.0,3074.0,16105.0,288044.0,117667.0,93015.0,70654.0,49900.0,61710.0,20133.0,2369.0,22672.0,12257.0,54027.0,43338.0,124306.0,4828.0,85853.0,109899.0,18625.0,601.0,10232.0,3772.0,2610.0,20.0,533.0,24228.0,44707.0,470332.0
P_028_1,175605.0,32701.0,55452.0,134086.0,107726.0,60842.0,33875.0,15559.0,7582.0,16871.0,188658.0,26412.0,18740.0,34983.0,25638.0,3913.0,1809.0,4653.0,22646.0,4113.0,262083.0,162260.0,63168.0,123011.0,83881.0,14892.0,4744.0,94880.0,46852.0,15225.0,48142.0,37111.0,21735.0,28419.0,11646.0,150137.0,42095.0,4824.0,1970.0,23859.0,701.0,19.0,537.0,3311.0,31468.0,1434.0
P_029_1,179255.0,853.0,55334.0,80045.0,59563.0,64682.0,207279.0,23860.0,34701.0,27472.0,194725.0,39683.0,6282.0,99034.0,37796.0,49754.0,20734.0,83418.0,238186.0,3955.0,172568.0,65120.0,72046.0,31584.0,27769.0,6922.0,382299.0,3507.0,55729.0,23831.0,61771.0,141768.0,25701.0,525592.0,31971.0,97245.0,131817.0,606791.0,670.0,1942.0,532.0,18.0,430.0,344.0,67244.0,298055.0
